Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,title_clean,Total_Score,Score_Acc,Score_UI,Score_Tech
UI9D6Y75,journalArticle,2023,"Chavhan, Suresh; Kumar, Sachin; Tiwari, Prayag; Liang, Xueqin; Lee, Ikhyun; Muhammad, Khan",Edge-Enabled Blockchain-Based V2X Scheme for Secure Communication Within the Smart City Development,IEEE Internet of Things Journal,,,10.1109/JIOT.2023.3281092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161038591&doi=10.1109%2FJIOT.2023.3281092&partnerID=40&md5=7efe43f828a98d93d01e1d8be7d43195,"As the high-mobility nature of the vehicles results in frequent leaving and joining the transportation network, real-time data must be collected and shared in a timely manner. In such a transportation network, malicious vehicles can disrupt services and create serious issues, such as deadlocks and accidents. The blockchain is a technology that ensures traceability, consistency, and security in transportation networks. In this study, we integrated edge computing and blockchain technology to improve the optimal utilization of resources, especially in terms of computing, communication, security, and storage. We propose a novel, edge-integrated, blockchain-based vehicle platoon security scheme. For the vehicle platoon, we developed the security architecture, implemented smart contracts for practical network scenarios in network simulator version 3, and integrated them with the simulation urban mobility traffic control interface API. We exhaustively simulated all the scenarios and analyzed the communication performance metrics, such as throughput, delay, and jitter, and the security performance metrics, such as mean squared error, communication, and computational cost. The performance results demonstrate that the developed scheme can solve security-related issues more effectively and efficiently in smart cities. © 2014 IEEE.",2023,2026/2/28 18:27,2026/2/28 18:27,,,,,,,,,,,,,,,,,,,,,,Type: Article,<p>Cited by: 19; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: </p>,,,Blockchain; Security; Smart city; V2X; Accidents; Network security; Block-chain; Traffic control; Intelligent systems; Vehicles; Digital storage; Intelligent transport; Intelligent transport system; Intelligent vehicle highway systems; Long Term Evolution (LTE); Mean square error; Performance metrices; Transport systems; Transportation network; Urban growth; Vehicle platoons; Vehicle to Everything; Vehicle to vehicle communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edgeenabledblockchainbasedv2xschemeforsecurecommunicationwithinthesmartcitydevelopment,10.0,4.0,3.0,3.0
WZDV7WQW,journalArticle,2023,"Hasan, A. S.M.Touhidul; Sabah, Shabnam; Daria, Apubra; Haque, Rakib Ul",A peer-to-peer blockchain-based architecture for trusted and reliable agricultural product traceability,Decision Analytics Journal,,,10.1016/j.dajour.2023.100363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181904578&doi=10.1016%2Fj.dajour.2023.100363&partnerID=40&md5=7ed84ba4202eec9d5745660318bf428c,"The lack of new and advanced technologies, such as the Internet of Things (IoT) and Fog computing, makes it challenging to trace the origin of agricultural products in supply chains. In addition, the system's traditional centralized architecture cannot provide a trusted traceability service for farming goods in these supply chains. This paper proposes a peer-to-peer Blockchain-based architecture integrating self-sovereign identity (SSI) and a decentralized key management system (DKMS) for a trusted and reliable traceability service for agricultural food products in the supply chain networks. The public Blockchain network Fantom will provide faster and cheaper transactions. In contrast, SSI will ensure the identity of each entity by adopting DKMS technology on top of Blockchain to facilitate faster authenticity, integrity, and confidentiality service of the supply chain's transaction and verification process. The system is deployed on the different public networks, i.e., Fantom and Ethereum, and shows that the proposed Fantom-based Blockchain network outperforms in terms of transaction and verification timing. © 2023 The Author(s)",2023,2026/2/28 18:27,2026/2/28 18:27,,,,,,,,,,,,,,,,,,,,,,Type: Article,<p>Cited by: 19; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apeertopeerblockchainbasedarchitecturefortrustedandreliableagriculturalproducttraceability,10.0,4.0,3.0,3.0
3ZS3J9QG,journalArticle,2023,"Chen, Xiuyuan; Lin, Chao; Wu, Wei; Ning, Jianting; Lai, Junzuo; He, Debiao","Deep-Reuse-Enabled Common Satellite Network via Collaborative Blockchains: Architecture, Challenges, and Solutions",IEEE Communications Magazine,,,10.1109/MCOM.006.2200835,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163504767&doi=10.1109%2FMCOM.006.2200835&partnerID=40&md5=8bf909dd94ce587acfc8e13607a25cbd,"Satellite networks, as a recent deployment for technical and economic progress, have shown great advantages to provide diversiform Internet services. However, the networks are grappling with severe congestion caused by a surge in simultaneous requests, which has become more prevalent due to the widespread adoption of satellite constellations. The reuse of satellite components or orbital computing is a practicable method to detach thi<sup>s</sup> hindrance, but current approaches have only achieved customized services, and limited access, as well as one-way profits with satellites serving users. Additionally, the unrecorded distribution and centralized management of satellite networks may result in contentious interaction and exposed infrastructure. In this article, we first propose an architecture of Deep-reuse-enabled Common Satellite Network via Collaborative Blockchains (named DCSN-CB), where the notion of deep reuse is described from resources and information. Then, we highlight potential security and efficiency issues faced by DCSN-CB from the viewpoint of authentication, command control, and data management. As a countermeasure, we outline the prospective blockchain-based technologies, namely, the cross-domain authentication, digital-twins-enabled edge computing, and data auto-audit. The further estimations of these solutions indeed demonstrate their feasibility. Finally, we point out several interesting directions for future efforts in this emerging field. © 1979-2012 IEEE.",2023,2026/2/28 18:27,2026/2/28 18:27,,,,,,,,,,,,,,,,,,,,,,Type: Article,<p>Cited by: 3; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: </p>,,,Blockchain; Authentication; Computer architecture; Task analysis; Information management; Block-chain; Satellites; Network architecture; Job analysis; Orbits; Cloud-computing; Economic progress; Internet-services; Reuse; Satellite broadcasting; Satellite network; Severe congestion; Technical progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deepreuseenabledcommonsatellitenetworkviacollaborativeblockchainsarchitecturechallengesandsolutions,10.0,4.0,3.0,3.0
NFU6X4C2,journalArticle,2023,"Manoharan, Rajesh; Vengatesan, Krishnasamy; Sitharthan, R.; Dhanabalan, Shanmuga Sundar; Gawali, Mahendra Bhatu",Enhancing Mobile Multimedia Trustworthiness through Federated AI-based Content Authentication: Enhancing Mobile Multimedia,Journal of Mobile Multimedia,,,10.13052/jmm1550-4646.1963,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178244850&doi=10.13052%2Fjmm1550-4646.1963&partnerID=40&md5=0e6927b2e101f823364de3035b9a1cfe,"The rapid proliferation of mobile devices and multimedia content has led to an increased need for ensuring trustworthiness and authentication of the shared data. Traditional centralized methods have proven to be insufficient in maintaining privacy and addressing scalability issues. This paper presents a novel approach to enhancing mobile multimedia trustworthiness through the application of Federated AI-based content authentication techniques. By leveraging the benefits of distributed machine learning and edge computing, our proposed framework efficiently authenticates multimedia data while preserving user privacy and reducing latency. Our system employs a federated learning model that trains AI algorithms on local devices, allowing them to collaboratively build a robust and accurate authentication model. Additionally, this research introduces a blockchain-based decentralized trust management system to further enhance the integrity and traceability of the authentication process. Through extensive evaluations, this research demonstrate that our proposed framework significantly improves the trustworthiness of mobile multimedia content while minimizing the overhead and resource consumption associated with traditional centralized approaches. © 2023 River Publishers.",2023,2026/2/28 18:27,2026/2/28 18:27,,,,,,,,,,,,,,,,,,,,,,Type: Article,<p>Cited by: 3; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enhancingmobilemultimediatrustworthinessthroughfederatedaibasedcontentauthenticationenhancingmobilemultimedia,10.0,4.0,3.0,3.0
Q5SY56KF,journalArticle,2022,"Liao, Zhuofan; Pang, Xiang; Zhang, Jingyu; Xiong, Bing; Wang, Jin",Blockchain on Security and Forensics Management in Edge Computing for IoT: A Comprehensive Survey,IEEE Transactions on Network and Service Management,,,10.1109/TNSM.2021.3122147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118549692&doi=10.1109%2FTNSM.2021.3122147&partnerID=40&md5=d14beef2185c24f950921a6d8f5c894a,"Security and forensics represent two key components for network management, especially to guarantee the trusted operation of massive access networks such as the Internet of Things (IoT). As a core technology to provide low latency and high communication for IoT, Mobile Edge Computing (MEC) pulls computing resources from remote cloud centers to devices. The process of MEC service involves three types of entities: devices, data generated by devices and digital evidence generated after the data interaction. These entities are fully distributed and difficult to protect through traditional, highly centralized security and authentication mechanisms. As a decentralized shared ledger and database, the emerging blockchain is considered to provide cooperative trust and collaborative action among multiple subjects while ensuring the integrity and confidentiality of data. Because of its anonymity, non-tampering and traceability, the blockchain arouses research on the combination of blockchain and edge computing for device security, data security and forensics in IoT. This survey analyzes the application of blockchain in MEC-IoT systems and mainly focuses on approaches and technologies to manage the security and forensics issues for IoT. Finally, we present open issues and prospects for future work and research directions. © 2004-2012 IEEE.",2022,2026/2/28 18:27,2026/2/28 18:27,,,,,,,,,,,,,,,,,,,,,,Type: Article,<p>Cited by: 86; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: </p>,,,Blockchain; Security; Edge computing; Internet of things; Digital forensics; Network security; Surveys; Quality of service; Block-chain; Mobile edge computing; Quality-of-service; Trusted computing; Digital devices; Access network; Core technology; Forensic.; Networks management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blockchainonsecurityandforensicsmanagementinedgecomputingforiotacomprehensivesurvey,10.0,4.0,3.0,3.0
U7T8SYRZ,conferencePaper,2021,"Zhong, Lei; Onishi, Ryokichi; Wang, Ling; Ruan, Leifeng; Tan, Soojin",A Scalable Blockchain-based High-Definition Map Update Management System,"2021 IEEE International Smart Cities Conference, ISC2 2021",,,10.1109/ISC253183.2021.9562840,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118188170&doi=10.1109%2FISC253183.2021.9562840&partnerID=40&md5=44ae2a4fbda9bdf7317c5451f69b7d56,"High-Definition (HD) map service requires more frequent update and much larger data volume than traditional map services, so that it is very difficult to handle HD map update by existing offline data collection such as survey fleets, and centralized cloud-based map services. To solve this problem, vehicle crowd-sourcing and edge computing infrastructure are proposed to timely capture the change of the physical world and distributedly process the huge amount of raw data close to the vehicles. In such a decentralized environment, Distributed Ledger Technology (DLT), such as blockchain, is very promising to meet some of the important requirements of data integrity and traceability of map update, but it is challenging to meet the requirement of frequent map update and scale to a large-scale system. In this work, we propose a salable HD map update management system by leveraging multiple blockchain networks in parallel and dynamically assign the generated map update to the corresponding blockchains according to the location and update frequency requirements. To verify the proposed system, we prototyped it based on the Hyperledger Fabric, an open-source implementation of consortium blockchain, and tested it in the lab environment. © 2021 IEEE.",2021,2026/2/28 18:27,2026/2/28 18:27,,,,,,,,,,,,,,,,,,,,,,Type: Conference paper,"<p>Cited by: 9; Conference name: 2021 IEEE International Smart Cities Conference, ISC2 2021; Conference sponsors: ; Conference location: Manchester; Conference code: 172705; Conference date: 2021-09-07 through 2021-09-10</p>",,,Blockchain; Data collection; Block-chain; Cloud-based; Centralised; Open systems; Management systems; Large scale systems; Crowd sourcing; Digital television; High definition; Large data volumes; Map service; Offline data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ascalableblockchainbasedhighdefinitionmapupdatemanagementsystem,10.0,4.0,3.0,3.0
VAG5ANU7,journalArticle,2021,"Yi, Yinxue; Zhang, Zufan; Yang, Laurence Tianruo; Deng, Xianjun; Yi, Lingzhi; Wang, Xiaokang","Social Interaction and Information Diffusion in Social Internet of Things: Dynamics, Cloud-Edge, Traceability",IEEE Internet of Things Journal,,,10.1109/JIOT.2020.3026995,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100729847&doi=10.1109%2FJIOT.2020.3026995&partnerID=40&md5=fcbdbc32f534e6d96c954e596492b509,"Social Internet of Things (SIoT), integrating the social networks and Internet of Things (IoT), leads to heterogeneous interactions of thing to thing, human to human, and human to thing, which in turn generates exploded information. Hence, as the soul of SIoT, information with its interaction and diffusion, records the track of humans and things and contains the hidden value for social administration and people's lives. Therefore, how to characterize the interplay between behavior spreading and information diffusion in SIoT is essential to predict and manage the information. Motivated by this, a more comprehensive understanding of the coupled modeling of social interaction and information diffusion processes in SIoT is conceived first. With the widespread adoption of cloud-edge computing, different nodes have different consciousness on information. Hence, a cloud-edge-aided information diffusion model is proposed for efficient interactions, which incorporates the role of edge in timely processing and feedback. On this basis, a blockchain-based cloud-edge SIoT architecture is proposed for traceability and security of information diffusion. Furthermore, the dynamical analysis of the coupled model in SIoT is provided, which illustrates the outbreak threshold, stability, and scale of information propagation. An interesting finding is that interactive behavior spreading only influences the final size of information propagation, not the spreading threshold. Extensive simulation results and detailed performance analysis verify the theoretical results, which are beneficial to provide traceable dissemination so as to find the most influential node and control the scale of information diffusion. © 2014 IEEE.",2021,2026/2/28 18:27,2026/2/28 18:27,,,,,,,,,,,,,,,,,,,,,,Type: Article,<p>Cited by: 49; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: </p>,,,Internet of things; Internet of Things (IOT); Information dissemination; Security of data; Extensive simulations; Efficient interaction; Heterogeneous interactions; Information diffusion; Information diffusion models; Information diffusion process; Information propagation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,socialinteractionandinformationdiffusioninsocialinternetofthingsdynamicscloudedgetraceability,10.0,4.0,3.0,3.0
V8XTBMDR,conferencePaper,2021,"Valentin, Manuel; Pahl, Claus; El Ioini, Nabil; Barzegar, Hamid Reza",A Blockchain-based Access and Management System for IoT Devices,"2021 8th International Conference on Internet of Things: Systems, Management and Security, IOTSMS 2021",,,10.1109/IOTSMS53705.2021.9704951,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125649272&doi=10.1109%2FIOTSMS53705.2021.9704951&partnerID=40&md5=1e387d84f532853992e11e13732eda38,"Recent developments in distributed ledger technologies have created a whole new set of possibilities in the way of managing trust, security, privacy and traceability in computer-based transactions, principles which are increasingly gaining importance in the world of IoT. Currently, IoT devices are generally based on centralized, client-server systems, where digital service providers have complete control over user data and information generated by their devices. In this paper we present the development of a decentralized access and management system for IoT devices, where operations on these devices, such as the installation and management of apps are handled by a blockchain-based identification and record system. The system prototype consists of a smartphone application acting as a management hub for the whole system, an IoT device API implementation for allowing secure access to management and data functionalities, and a set of smart contracts on the Ethereum blockchain, where all necessary information for the functioning of the system is stored. The system allows app developers to provide their apps as Docker containers for IoT devices without the need to publish them on a centralized app store, and a regular user can subscribe to and access the available applications by paying in cryptocurrency without revealing any private information to the system. A cost and performance evaluation have been performed to assess the feasibility of the proposed solution. © 2021 IEEE.",2021,2026/2/28 18:28,2026/2/28 18:28,,,,,,,,,,,,,,,,,,,,,,Type: Conference paper,"<p>Cited by: 1; Conference name: 8th International Conference on Internet of Things: Systems, Management and Security, IOTSMS 2021; Conference sponsors: ; Conference location: Virtual, Gandia; Conference code: 177212; Conference date: 2021-12-06 through 2021-12-09; All Open Access; Green Accepted Open Access; Green Open Access</p>",,,Blockchain; Ethereum; Smart contract; Distributed ledger; Data privacy; Edge computing; Internet of things; Information management; Block-chain; Centralised; User information; Digital devices; Security/privacy; Management systems; Application programming interfaces (API); Access system; Client-server systems; Complete control; Digital service providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ablockchainbasedaccessandmanagementsystemforiotdevices,10.0,4.0,3.0,3.0
ZF36PB9V,conferencePaper,2020,"Xiao, Hongzhi; Qiu, Chen; Yang, Qinglin; Huang, Huakun; Wang, Junbo; Su, Chunhua",Deep reinforcement learning for optimal resource allocation in blockchain-based IoV secure systems,"Proceedings - 2020 16th International Conference on Mobility, Sensing and Networking, MSN 2020",,,10.1109/MSN50589.2020.00036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104586680&doi=10.1109%2FMSN50589.2020.00036&partnerID=40&md5=43f326cdbb1a5631f27381880c569aac,"Driven by the advanced technologies of vehicular communications and networking, the Internet of Vehicles (IoV) has become an emerging paradigm in smart world. However, privacy and security are still quite critical issues for the current IoV system because of various sensitive information and the centralized interaction architecture. To address these challenges, a decentralized architecture is proposed to develop a blockchain-supported IoV (BS-IoV) system. In the BS-IoV system, the Roadside Units (RSUs) are redesigned for Mobile Edge Computing (MEC). Except for information collection and communication, the RSUs also need to audit the data uploaded by vehicles, packing data as block transactions to guarantee high-quality data sharing. However, since block generating is critical resource-consuming, the distributed database will cost high computing power. Additionally, due to the dynamical variation environment of traffic system, the computing resource is quite difficult to be allocated. In this paper, to solve the above problems, we propose a Deep Reinforcement Learning (DRL) based algorithm for resource optimization in the BS-IoV system. Specifically, to maximize the satisfaction of the system and users, we formulate a resource optimization problem and exploit the DRL-based algorithm to determine the allocation scheme. The evaluation of the proposed learning scheme is performed in the SUMO with Flow, which is a professional simulation tool for traffic simulation with reinforcement learning functions interfaces. Evaluation results have demonstrated good effectiveness of the proposed scheme. © 2020 IEEE.",2020,2026/2/28 18:28,2026/2/28 18:28,,,,,,,,,,,,,,,,,,,,,,Type: Conference paper,"<p>Cited by: 14; Conference name: 16th International Conference on Mobility, Sensing and Networking, MSN 2020; Conference sponsors: Sensors; Conference location: Tokyo; Conference code: 168325; Conference date: 2020-12-17 through 2020-12-19</p>",,,Blockchain; Computer architecture; Deep learning; Resource optimization; Reinforcement learning; Data Sharing; Resource allocation; Learning systems; Vehicle to vehicle communications; Privacy and security; Decentralized architecture; Sensitive informations; Optimal resource allocation; Privacy by design; Vehicular communications; Information collections; Resource optimization problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deepreinforcementlearningforoptimalresourceallocationinblockchainbasediovsecuresystems,10.0,4.0,3.0,3.0
GBLMQZA5,journalArticle,2020,"Nawaz, Anum; Queralta, Jorge Pena; Guan, Jixin; Awais, Muhammad; Gia, Tuan Nguyen; Bashir, Ali Kashif; Kan, Haibin; Westerlund, Tomi",Edge computing to secure iot data ownership and trade with the ethereum blockchain,Sensors (Switzerland),,,10.3390/s20143965,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088028338&doi=10.3390%2Fs20143965&partnerID=40&md5=382d6d4c809c846afe9c5804ec784d78,"With an increasing penetration of ubiquitous connectivity, the amount of data describing the actions of end-users has been increasing dramatically, both within the domain of the Internet of Things (IoT) and other smart devices. This has led to more awareness of users in terms of protecting personal data. Within the IoT, there is a growing number of peer-to-peer (P2P) transactions, increasing the exposure to security vulnerabilities, and the risk of cyberattacks. Blockchain technology has been explored as middleware in P2P transactions, but existing solutions have mainly focused on providing a safe environment for data trade without considering potential changes in interaction topologies. we present EdgeBoT, a proof-of-concept smart contracts based platform for the IoT built on top of the ethereum blockchain. With the Blockchain of Things (BoT) at the edge of the network, EdgeBoT enables a wider variety of interaction topologies between nodes in the network and external services while guaranteeing ownership of data and end users’ privacy. in EdgeBoT, edge devices trade their data directly with third parties and without the need of intermediaries. This opens the door to new interaction modalities, in which data producers at the edge grant access to batches of their data to different third parties. Leveraging the immutability properties of blockchains, together with the distributed nature of smart contracts, data owners can audit and are aware of all transactions that have occurred with their data. we report initial results demonstrating the potential of EdgeBoT within the IoT. we show that integrating our solutions on top of existing IoT systems has a relatively small footprint in terms of computational resource usage, but a significant impact on the protection of data ownership and management of data trade. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",2020,2026/2/28 18:28,2026/2/28 18:28,,,,,,,,,,,,,,,,,,,,,,Type: Article,<p>Cited by: 54; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access</p>,,,Blockchain; blockchain; Ethereum; Edge computing; internet of things; Internet of things; Security vulnerabilities; Middleware; privacy; Information management; Data ownership; article; Security of data; Topology; Computational resources; Internet of thing (IOT); Proof of concept; Data producers; Potential change; proof of concept; Small footprints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edgecomputingtosecureiotdataownershipandtradewiththeethereumblockchain,10.0,4.0,3.0,3.0
